pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","2","1|2","multi-level+multi-option","71641","133204","112464","","52925","52925","1446788","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->A|evm|fund:ca","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->D|evm|fund:cd","CTLCMultipleEdges","1","2","single-level+multi-option","75948","75948","59539","","0","0","1285262","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"D->E|evm|fund:de","CTLCOnly","2","1|1","multi-level","68747","129972","112508","","52947","52947","1261982","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"E->A|evm|fund:ea","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->B|evm|fund:eb","CTLCOnly","1","1","single-level","72874","72874","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
