pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","2","2|1","multi-level+multi-option","80267","137523","112464","","52925","52925","1515536","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","2","2|1","multi-level+multi-option","75948","133204","112464","","52925","52925","1446788","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCOnly","2","1|1","multi-level","68747","125833","112508","","52947","52947","1239082","true","pair compiles to CTLCOnly; expect 1 disable step(s) before last claim/refund"
"D->F|evm|fund:df","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->A|evm|fund:ea","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->C|evm|fund:ec","CTLCOnly","1","1","single-level","77001","77001","59561","","0","0","1169723","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCOnly","1","1","single-level","68735","68735","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->D|evm|fund:fd","CTLCOnly","1","1","single-level","72874","72874","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
