pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->A|evm|fund:ba","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"B->C|evm|fund:bc","CTLCMultipleEdges","3","2|1|2","multi-level+multi-option","75948","173372","148301","","88762","88762","1769205","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"C->B|evm|fund:cb","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->D|evm|fund:cd","CTLCMultipleEdges","3","1|1|2","multi-level+multi-option","71641","169041","148301","","88762","88762","1585366","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"C->E|evm|fund:ce","CTLCOnly","1","1","single-level","72874","72874","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->F|evm|fund:cf","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->A|evm|fund:da","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->B|evm|fund:db","CTLCOnly","3","1|1|1","multi-level","68747","169982","148367","","88806","88806","1423013","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCMultipleEdges","1","2","single-level+multi-option","75936","75936","59539","","0","0","1285286","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"E->F|evm|fund:ef","CTLCOnly","1","1","single-level","68735","68735","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
