pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","1","2","single-level+multi-option","84586","84586","59539","","0","0","1376922","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"B->F|evm|fund:bf","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->D|evm|fund:cd","CTLCMultipleEdges","2","3|2","multi-level+multi-option","80267","137535","112464","","52925","52925","1768570","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"D->B|evm|fund:db","CTLCOnly","1","1","single-level","72874","72874","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","2","2|2","multi-level+multi-option","75948","133204","112464","","52925","52925","1561855","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->B|evm|fund:eb","CTLCOnly","1","1","single-level","72874","72874","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->F|evm|fund:ef","CTLCOnly","1","1","single-level","68735","68735","59561","","0","0","1123899","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
