pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","4","1|1|1|6","multi-level+multi-option","71641","213517","184138","","124599","124599","2505199","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"B->E|evm|fund:be","CTLCMultipleEdges","2","1|6","multi-level+multi-option","75948","133204","112464","","52925","52925","1930016","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->A|evm|fund:ca","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->D|evm|fund:cd","CTLCMultipleEdges","3","1|1|6","multi-level+multi-option","71641","173372","148301","","88762","88762","2206094","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"D->A|evm|fund:da","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100987","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","4","1|6|4|12","multi-level+multi-option","75948","213517","184138","","124599","124599","4506588","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCMultipleEdges","4","6|2|14|12","multi-level+multi-option","75936","213517","184138","","124599","124599","5887602","true","pair compiles to CTLCMultipleEdges; expect 3 disable step(s) before last claim/refund"
"E->G|evm|fund:eg","CTLCMultipleEdges","3","1|2|2","multi-level+multi-option","71641","173372","148301","","88762","88762","1769181","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"F->B|evm|fund:fb","CTLCMultipleEdges","3","1|2|1","multi-level+multi-option","75948","177680","148301","","88762","88762","1677014","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"F->G|evm|fund:fg","CTLCMultipleEdges","3","3|6|6","multi-level+multi-option","71641","173372","148301","","88762","88762","2920290","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"G->A|evm|fund:ga","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"G->B|evm|fund:gb","CTLCMultipleEdges","2","2|2","multi-level+multi-option","75948","133192","112464","","52925","52925","1561879","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
