pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","2","4|16","multi-level+multi-option","80267","137535","112464","","52925","52925","3816053","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","1","8","single-level+multi-option","80267","80267","59539","","0","0","2021584","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"C->E|evm|fund:ce","CTLCMultipleEdges","1","2","single-level+multi-option","75948","75948","59539","","0","0","1285286","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"D->E|evm|fund:de","CTLCMultipleEdges","1","4","single-level+multi-option","75948","75948","59539","","0","0","1469608","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"E->F|evm|fund:ef","CTLCMultipleEdges","1","2","single-level+multi-option","71629","71629","59539","","0","0","1239462","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"F->A|evm|fund:fa","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100963","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
