pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCOnly","3","1|1|1","multi-level","68747","165831","148367","","88806","88806","1377177","true","pair compiles to CTLCOnly; expect 2 disable step(s) before last claim/refund"
"C->A|evm|fund:ca","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->D|evm|fund:cd","CTLCOnly","1","1","single-level","72874","72874","59561","","0","0","1146811","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"C->E|evm|fund:ce","CTLCOnly","1","1","single-level","68747","68747","59561","","0","0","1123887","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","2","1|2","multi-level+multi-option","71641","128885","112464","","52925","52925","1400964","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->A|evm|fund:ea","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"E->C|evm|fund:ec","CTLCMultipleEdges","1","2","single-level+multi-option","71641","71641","59539","","0","0","1239462","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
