pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->C|evm|fund:bc","CTLCMultipleEdges","2","3|6","multi-level+multi-option","84598","141831","112464","","52925","52925","2526846","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"B->E|evm|fund:be","CTLCMultipleEdges","1","3","single-level+multi-option","80267","80267","59539","","0","0","1446189","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"B->G|evm|fund:bg","CTLCMultipleEdges","1","3","single-level+multi-option","71641","71641","59539","","0","0","1308681","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"C->D|evm|fund:cd","CTLCMultipleEdges","3","3|9|6","multi-level+multi-option","80267","177680","148301","","88762","88762","3746869","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"D->E|evm|fund:de","CTLCMultipleEdges","2","6|6","multi-level+multi-option","80267","137535","112464","","52925","52925","2665869","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"D->F|evm|fund:df","CTLCMultipleEdges","2","3|3","multi-level+multi-option","75948","133204","112464","","52925","52925","1769101","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"E->F|evm|fund:ef","CTLCMultipleEdges","2","3|3","multi-level+multi-option","75948","133204","112464","","52925","52925","1769113","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"F->B|evm|fund:fb","CTLCMultipleEdges","1","3","single-level+multi-option","75936","75936","59539","","0","0","1377429","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"F->G|evm|fund:fg","CTLCMultipleEdges","1","3","single-level+multi-option","71641","71641","59539","","0","0","1308705","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"G->A|evm|fund:ga","CTLCMultipleEdges","1","3","single-level+multi-option","67334","67334","59539","","0","0","1239957","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
