pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->A|evm|fund:ba","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"B->C|evm|fund:bc","CTLCMultipleEdges","1","4","single-level+multi-option","80267","80267","59539","","0","0","1561280","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"B->E|evm|fund:be","CTLCMultipleEdges","1","2","single-level+multi-option","71641","71641","59539","","0","0","1239450","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"C->D|evm|fund:cd","CTLCMultipleEdges","1","2","single-level+multi-option","75948","75948","59539","","0","0","1285274","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"D->E|evm|fund:de","CTLCMultipleEdges","1","2","single-level+multi-option","71641","71641","59539","","0","0","1239450","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"E->A|evm|fund:ea","CTLCMultipleEdges","1","2","single-level+multi-option","67334","67334","59539","","0","0","1193638","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
