pair,contract,levels,duplicateVector,pattern,bestClaimGas,worstClaimGas,refundGas,bestDisableGas,worstDisableGas,refundDisableGas,deployGasDecimal,okAll,notes
"B->A|evm|fund:ba","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"B->C|evm|fund:bc","CTLCMultipleEdges","3","2|4|4","multi-level+multi-option","75948","177668","148301","","88762","88762","2573889","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"B->E|evm|fund:be","CTLCMultipleEdges","2","2|1","multi-level+multi-option","80255","141843","112464","","52925","52925","1538448","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"B->F|evm|fund:bf","CTLCMultipleEdges","2","2|1","multi-level+multi-option","75924","137535","112464","","52925","52925","1469712","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"C->D|evm|fund:cd","CTLCMultipleEdges","3","1|2|2","multi-level+multi-option","71641","173372","148301","","88762","88762","1769205","true","pair compiles to CTLCMultipleEdges; expect 2 disable step(s) before last claim/refund"
"D->A|evm|fund:da","CTLCOnly","1","1","single-level","64620","64620","59561","","0","0","1100975","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
"D->E|evm|fund:de","CTLCMultipleEdges","1","2","single-level+multi-option","80267","80267","59539","","0","0","1331098","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"D->F|evm|fund:df","CTLCMultipleEdges","1","2","single-level+multi-option","75948","75948","59539","","0","0","1285262","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"E->F|evm|fund:ef","CTLCMultipleEdges","2","2|1","multi-level+multi-option","75948","137523","112464","","52925","52925","1469724","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"F->G|evm|fund:fg","CTLCMultipleEdges","2","2|1","multi-level+multi-option","71641","133204","112464","","52925","52925","1400976","true","pair compiles to CTLCMultipleEdges; expect 1 disable step(s) before last claim/refund"
"G->A|evm|fund:ga","CTLCMultipleEdges","1","2","single-level+multi-option","67334","67334","59539","","0","0","1193626","true","best_claim and worst_claim are expected to match; pair compiles to CTLCMultipleEdges"
"G->C|evm|fund:gc","CTLCOnly","1","1","single-level","72850","72850","59561","","0","0","1146799","true","best_claim and worst_claim are expected to match; pair compiles to CTLCOnly"
